nombre,area,altura_piso,enredadera,productividad,estrato,N,P,K,Ca,Medicinal,Frutal,Aromatico,otros,Inundacion,Sequia,Salinidad,Acidez,1,2,3,4,5,6,7,8,9,10,11,12,sombra,pruductiva_en,recambio,distancia,diametro,altura,cantidad
Aguaje,28.27,2,0,21.22,4,0,0,0,0,1,1,0,1,1,0,0,0,2,2,2,2,2,2,2,2,1,1,1,2,0,90,45,18,6,25,7
Anona,28.27,2,0,1.7,3,0,0,0,0,1,1,0,0,0,0,0,1,1,2,2,2,1,2,2,0,1,1,1,1,0,60,20,4.5,6,8,16
Arazá,12.57,2,0,2.74,3,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,2,1,1,1,0,1,2,1,1,0.5,18,15,7,4,9,16
"Camu camu",7.07,0,0,58.36,3,0,0,0,0,0,1,0,0,1,1,0,0,1,2,2,2,1,0,1,0,1,0,1,1,0,36,15,5,3,6,16
Carambola,19.64,2,0,8.96,3,0,0,0,0,0,1,0,0,0,1,0,0,1,2,2,2,2,2,1,0,1,1,2,1,0,42,20,7,5,10,16
Chacruna,3.14,2,0,25.46,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,24,,1,2,2.5,62
Cocona,3.14,2,0,4.14,2,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,2,2,2,2,0,2,1,1,1,0.4,6,1,3,2,2,62
Copaiba,113.1,2,0,9.55,5,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,2,2,2,2,0.5,96,30,8,12,27.5,6
Copoazú,38.48,2,0,2.99,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,2,1,1,0,0,1,1,1,1,0.5,42,10,6.5,7,6,16
"Frijol palo",1.43,2,0,11.88,2,1,0,0,0,0,1,0,1,0,0,0,1,2,2,2,2,0,0,0,0,0,0,2,2,0.4,24,10,1.25,1.35,2.75,62
Limón,19.64,2,0,5.6,2,0,0,0,0,0,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0.5,48,15,5,5,4.5,62
Mango,78.54,2,0,19.1,4,0,0,0,0,0,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,2,2,2,0.4,96,20,11,10,20,7
"Ojito de pescado",0.79,2,0,19.1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,6,3,0.8,1,0.9,736
Pacae,28.27,2,0,3.98,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,2,2,2,0,0,0,0,0,0,48,15,6,6,13,16
"Pan de arbol",78.54,2,0,12.1,4,0,0,0,0,1,1,0,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0.5,90,25,10,10,26,7
Papaya,3.14,2,0,11.46,3,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,2,2,2,1,1,1,1,1,0,9,3,6,2,9,16
Pijuayo,19.64,2,0,3.82,4,0,0,0,0,0,1,0,1,0,0,0,1,2,2,2,2,2,2,0,0,1,1,0,0,0,42,20,5.5,5,20,7
Piña,0.5,2,0,9.05,1,0,0,0,0,0,1,0,1,0,0,0,1,1,2,2,1,2,1,1,1,1,1,1,0,0.6,13,5,1.25,0.8,1.4,736
Platano,3.14,2,0,3.44,2,0,0,1,0,0,1,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,0.6,9,0.75,3.25,2,5.5,62
Pomarrosa,28.27,2,0,14.85,3,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,2,1,1,0,48,25,10,6,10,16
Pomelo,19.64,2,0,7.16,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,48,20,8,5,5.25,16
"Sangre grado",38.48,2,0,5.26,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.7,90,17.5,6.5,7,24,7
Sapote,113.1,2,0,7.37,4,0,0,0,0,0,1,0,1,1,1,0,0,1,1,2,2,2,1,0,0,0,0,0,0,0.65,102,17.5,12,12,20,7
Shimbillo,28.27,2,0,3.09,3,1,0,0,0,0,1,0,1,0,0,0,1,0,1,2,2,2,2,1,0,1,0,0,0,0,54,15,5,6,15.5,16
"Huasai brasilero / palmito",19.64,2,0,24.45,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0.6,60,20,5,5,30,6
